company_name,company_address,company_phone,company_website
Mina Center,Zayed The First St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,+971 2 644 0700,http://www.minacentre.com/
Abu Dhabi Co-operative Society,Abu Dhabi Co-operative Society - Al Mina Branch - Abu Dhabi - United Arab Emirates,+971 2 673 3100,http://www.adcoops.com/
Al Safeer Center,9th Street, Zone 1E11 - Abu Dhabi - United Arab Emirates,+971 2 642 4444,http://alsafeercenter.com/
KM Trading,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 642 3322,http://kmtrading.com/
Brands For Less,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 641 8844,http://www.brandsforless.com/
Liwa Centre,Liwa Center - Hamdan Bin Mohammed St - Zone 1E7 - Abu Dhabi - United Arab Emirates,+971 2 633 9922,http://liwacentre.com/
Centrepoint,Liwa Centre - Abu Dhabi - United Arab Emirates,+971 800 111 0007,http://www.centrepointstores.com/
Home Box,Liwa Centre - Abu Dhabi - United Arab Emirates,+971 800 111 0007,http://www.homeboxstores.com/
Splash,Liwa Centre - Abu Dhabi - United Arab Emirates,+971 800 111 0007,http://www.splashfashions.com/
Shoe Mart,Liwa Centre - Abu Dhabi - United Arab Emirates,+971 800 111 0007,http://www.shoemartstores.com/
Babyshop,Liwa Centre - Abu Dhabi - United Arab Emirates,+971 800 111 0007,http://www.babyshopstores.com/
Lifestyle,Liwa Centre - Abu Dhabi - United Arab Emirates,+971 800 111 0007,http://www.lifestylestores.com/
Max Fashion,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 641 3311,http://www.maxfashion.com/
 المناصير للأقمشة,Unnamed Road - Abu Dhabi - United Arab Emirates,,
Ramez Shopping Center,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 641 1711,http://www.ramezgroup.com/
Al Falah Ready Made Garments,Unnamed Road - Abu Dhabi - United Arab Emirates,,
Salam Studio & Stores,Abu Dhabi - United Arab Emirates,+971 2 679 6300,http://www.salamstores.com/
BHS,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.britishhomestores.com/
Debenhams,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.debenhams.com/
ICONIC,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.iconicstores.com/
KAREN MILLEN,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.karenmillen.com/
Oasis,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.oasis-stores.com/
Coast,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.coast-stores.com/
Dorothy Perkins,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.dorothyperkins.com/
Wallis,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.wallis-fashion.com/
Evans,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.evans.co.uk/
Warehouse,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.warehouse.co.uk/
OVS,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.ovs.it/
QUIZ,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.quizclothing.co.uk/
Monsoon,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.monsoon.co.uk/
Accessorize,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.accessorize.com/
Clarks,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.clarks.com/
Ecco,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.ecco.com/
Hush Puppies,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.hushpuppies.com/
Stylo,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.stylo.pk/
Naturalizer,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.naturalizer.com/
Nine West,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.ninewest.com/
Anne Klein,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.anneklein.com/
Nine & Co.,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,,
easy spirit,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.easyspirit.com/
Steve Madden,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.stevemadden.com/
Call It Spring,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.callitspring.com/
ALDO,Salam Studio & Stores - Abu Dhabi - United Arab Emirates,,http://www.aldoshoes.com/
िंगडम,Unnamed Road - Abu Dhabi - United Arab Emirates,,,
Al Mariah Mall,Al Falah St - Abu Dhabi - United Arab Emirates,+971 2 692 3333,http://www.almariahmall.ae/
Abu Dhabi Mall,Al Miyani St - Abu Dhabi - United Arab Emirates,+971 2 645 4858,http://www.abudhabi-mall.com/
World Trade Center Mall,Khalifa Bin Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 508 2400,http://www.wtcad.ae/
بوتيك 8,Unnamed Road - Abu Dhabi - United Arab Emirates,,,
Hamdan Shopping Center,Sheikh Zayed The 1st street - Abu Dhabi - United Arab Emirates,+971 2 633 3333,
Marina Mall,Marina Mall Ring Rd - Abu Dhabi - United Arab Emirates,+971 800 6623,http://www.marinamall.ae/
The Galleria,Al Maryah Island - Abu Dhabi - United Arab Emirates,+971 2 493 7400,http://www.thegalleria.ae/
Dalma Mall,ﺍﻟﻤﻮﺳَﻔَّﺢ - Abu Dhabi - United Arab Emirates,+971 2 553 3533,http://www.dalmamall.ae/
Mushrif Mall,Sheikh Rashid Bin Saeed St - Abu Dhabi - United Arab Emirates,+971 2 696 0000,http://www.mushrifmall.com/
Yas Mall,Yas Island - Abu Dhabi - United Arab Emirates,+971 800 9276255,http://www.yasmall.ae/
Deerfields Mall,Abu Dhabi - Al Shahama Rd - Abu Dhabi - United Arab Emirates,+971 2 501 0888,http://www.deerfieldsmall.com/
Bawabat Al Sharq Mall,Abu Dhabi - United Arab Emirates,+971 2 503 1400,http://www.bawabat الشرقmall.ae/
Al Wahda Mall,Hazaa Bin Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 443 7000,http://www.alwahda-mall.com/
Khalidiyah Mall, مبارك بن محمد الشارع - Abu Dhabi - United Arab Emirates,+971 2 635 4000,http://www.khalidiyahmall.ae/
Madinat Zayed Shopping Centre,مدينة زايد - Abu Dhabi - United Arab Emirates,+971 2 633 3311,http://www.madinatzayedmall.ae/
Mazyad Mall,Mazyad Mall - Mohamed Bin Zayed City - Abu Dhabi - United Arab Emirates,+971 2 552 2228,http://www.mazyadmall.com/
Remal Mall,Remal Mall - Al Ain - United Arab Emirates,+971 3 703 0300,http://www.remalmall.com/
Barari Outlet Mall,Al Ain - Abu Dhabi - United Arab Emirates,+971 3 705 9999,http://www.bararioutletmall.com/
 العين مول,Al Ain - United Arab Emirates,+971 3 766 0333,http://alainmall.com/
بوادي مول,Marmoum city - Abu Dhabi - United Arab Emirates,+971 3 784 0000,http://www.bawadimall.ae/
Al Jimi Mall,Al Jimi, Al Ain - Abu Dhabi - United Arab Emirates,+971 3 762 7000,http://www.aljimimall.com/
Hili Mall,Hili - Al Ain - United Arab Emirates,+971 3 784 8000,http://www.hilimall.com/
Capital Mall,Mohamed Bin Zayed City - Abu Dhabi - United Arab Emirates,+971 2 558 0088,http://www.capitalmallauh.com/
Forsan Central Mall,خليفة ب - Abu Dhabi - United Arab Emirates,+971 2 633 0222,http://forsancentralmall.com/
My City Centre Masdar,Masdar City - Abu Dhabi - United Arab Emirates,+971 2 414 0000,http://www.mycitycentremasdar.com/
Rahmania Mall,شارع الشيخ محمد بن صقر القاسمي - Al Rahmania - Sharjah - United Arab Emirates,+971 6 535 8800,http://www.rahmaniamall.com/
Zero 5 Mall,شارع المدينة الجامعية - Sharjah - United Arab Emirates,+971 6 530 3030,http://zero5mall.ae/
City Centre Al Zahia,Al Zahia St - Sharjah - United Arab Emirates,+971 800 111 0007,http://www.citycentrealzahia.com/
Matajer Al Juraina,Sheikh Zayed St - Sharjah - United Arab Emirates,+971 6 531 7777,http://www.matajersharjah.ae/
Matajer Al Khan,Al Khan Corniche - Sharjah - United Arab Emirates,+971 6 522 5550,http://www.matajersharjah.ae/
Matajer Al Quoz,شارع المدينة الجامعية - Sharjah - United Arab Emirates,+971 6 502 4444,http://www.matajersharjah.ae/
Matajer Al Mirgab,جامعة الشارقة - Sharjah - United Arab Emirates,+971 6 517 0555,http://www.matajersharjah.ae/
Sharjah City Centre,Al Wahda Rd - Sharjah - United Arab Emirates,+971 6 538 0055,http://www.citycentresharjah.com/
Mega Mall,جامعہ - Sharjah - United Arab Emirates,+971 6 574 2255,http://megamall.ae/
My City Centre Nasseriya,Al Nasser St - Sharjah - United Arab Emirates,+971 6 524 3333,http://www.mycitycentrenasseriya.com/
Ansar Mall,Al Ittihad Rd - Sharjah - United Arab Emirates,+971 6 528 0777,http://www.ansarmall.ae/
Grand Mall Sharjah,جامعة الشارقة - Sharjah - United Arab Emirates,+971 6 535 5570,http://grandmallsharjah.com/
Nesto Hypermarket Rolla,Rolla St - Sharjah - United Arab Emirates,+971 6 562 4447,http://www.nestogroup.com/
Safeer Mall Sharjah,Al Ittihad Rd - Sharjah - United Arab Emirates,+971 6 528 2222,http://www.safeermall.com/
Dana Mall,King Faisal Rd - Sharjah - United Arab Emirates,+971 6 569 5556,
Al Arab Mall,Al Wahda Rd - Sharjah - United Arab Emirates,+971 6 561 1199,http://www.alarabmall.ae/
Oasis Mall,Al Wahda Rd - Sharjah - United Arab Emirates,+971 6 525 9900,http://www.oasismall.ae/
Noor Mall,Al Wahda Rd - Sharjah - United Arab Emirates,+971 6 522 4444,http://www.noormall.ae/
Al Ghurair Centre,Al Rigga Rd - Dubai - United Arab Emirates,+971 4 228 5555,http://www.alghuraircentre.com/
BurJuman,Trade Centre Rd - Dubai - United Arab Emirates,+971 4 352 0222,http://www.burjuman.com/
City Centre Deira,8th St - Dubai - United Arab Emirates,+971 4 295 1000,http://www.citycentredeira.com/
WAFI City,Oud Metha Rd - Dubai - United Arab Emirates,+971 4 324 4555,http://www.waficity.com/
Al Mulla Plaza,دمشق - Dubai - United Arab Emirates,+971 4 221 1111,
Bin Sougat Centre,شارع الجزائر - Dubai - United Arab Emirates,+971 4 266 6677,http://www.binsougatcentre.com/
Century Mall,شارع الأقصى - Dubai - United Arab Emirates,+971 4 296 9111,http://centurymall.ae/
Dubai Festival City Mall,Dubai Festival City - Dubai - United Arab Emirates,+971 800 332,http://www.dubaifestivalcitymall.com/
Ibn Battuta Mall,Sheikh Zayed Rd - Dubai - United Arab Emirates,+971 4 362 1900,http://www.ibnbattutamall.com/
Mall of the Emirates,Sheikh Zayed Rd - Dubai - United Arab Emirates,+971 4 409 9000,http://www.malloftheemirates.com/
Mercato Shopping Mall,Jumeirah Beach Road, Jumeirah 1 - Dubai - United Arab Emirates,+971 4 344 4161,http://mercatoshoppingmall.com/
The Dubai Mall,Downtown Dubai - Dubai - United Arab Emirates,+971 800 38224 6255,http://www.thedubaimall.com/
Oasis Centre,Sheikh Zayed Rd - Dubai - United Arab Emirates,+971 4 515 4000,http://www.oasiscentre.com/
Arabian Center,Al Khawaneej St - Dubai - United Arab Emirates,+971 4 284 5555,http://www.arabiancenter.ae/
City Centre Mirdif,Sheikh Mohammed Bin Zayed Road - Dubai - United Arab Emirates,+971 800 226233,http://www.citycentremirdif.com/
Dubai Marina Mall,Sheikh Zayed Rd - Dubai - United Arab Emirates,+971 4 436 1020,http://www.dubaimarinamall.com/
Emirates Mall,Dubai - United Arab Emirates,,,
Festival Plaza,Jebel Ali Village - Dubai - United Arab Emirates,+971 800 332,http://www.festivalplaza.com/
Jumeirah Plaza,Jumeira - Dubai - United Arab Emirates,+971 4 349 7177,
Lamcy Plaza,Oud Metha Rd - Dubai - United Arab Emirates,+971 4 335 7755,http://www.lamcyplaza.com/
Mazaya Shopping Centre,Sheikh Zayed Rd - Dubai - United Arab Emirates,+971 4 343 3339,
Palm Strip Shopping Mall,Jumeirah Beach Rd - Dubai - United Arab Emirates,+971 4 345 6111,
Reef Mall,Salahuddin Rd - Dubai - United Arab Emirates,+971 4 224 4000,http://www.reefmall.ae/
Sunset Mall,Jumeirah Rd - Dubai - United Arab Emirates,+971 4 394 8088,http://sunsetmall.ae/
Times Square Center,Sheikh Zayed Rd - Dubai - United Arab Emirates,+971 4 341 8020,http://www.times Square center.ae/
Twin Towers Shopping Centre, Baniyas Rd - Dubai - United Arab Emirates,+971 4 227 1222,
Wafi Mall,Oud Metha Rd - Dubai - United Arab Emirates,,,
Al Khail Gate Community Center,Al Khail Gate - Dubai - United Arab Emirates,+971 800 25428423,
Al Barsha Mall,Al Barsha Rd - Dubai - United Arab Emirates,+971 4 325 5255,http://www.albarshamall.com/
Ittihad Mall,Beirut St - Dubai - United Arab Emirates,+971 4 288 2211,http://www.ittihadmall.ae/
Madina Mall,Al Qusais Industrial Area 2 - Dubai - United Arab Emirates,+971 4 267 7707,http://www.madinamall.ae/
Mall of Arabia,Al Ittihad Road, Al Nahda - Dubai - United Arab Emirates,+971 4 298 8111,
Mirdif 35,Algeria St - Dubai - United Arab Emirates,+971 4 288 1133,http://mirdif35.ae/
Motor City Shopping Centre,Motor City - Dubai - United Arab Emirates,+971 4 429 7777,
Oud Metha Plaza,شارع الشيخ راشد - Dubai - United Arab Emirates,+971 4 337 0111,
Palm Jumeirah,Palm Jumeirah - Dubai - United Arab Emirates,,,
The Beach,Jumeirah Beach Residence - Dubai - United Arab Emirates,+971 800 738245,http://www.thebeach.ae/
The Outlet Village,Jebel Ali - Dubai - United Arab Emirates,+971 4 317 3999,http://www.theoutletvillage.ae/
Union Coop Society - Al Barsha 2 Branch,23rd St - Dubai - United Arab Emirates,+971 800 8889,http://www.unioncoop.ae/
Al Maya Super Market,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 642 1448,http://www.almaya.ae/
SPINNEYS SUPERMARKET,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 644 6644,http://www.spinneys-dubai.com/
Waitrose,Al Falah St - Abu Dhabi - United Arab Emirates,+971 2 690 1613,http://www.waitrose.com/
LuLu Express Fresh Market - Najda,behind LuLu Center - Abu Dhabi - United Arab Emirates,+971 2 642 2440,http://www.luluhypermarket.com/
Choithrams,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 644 4766,http://www.choithrams.com/
Grand Mart Hypermarket,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 641 8822,http://grandmartuae.com/
Nest Hypermarket,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 642 2244,http://www.nestogroup.com/
VIVA Supermarket,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 800 8482,http://www.viva-supermarkets.com/
Géant Hypermarket,Yas Mall - Abu Dhabi - United Arab Emirates,+971 2 658 0444,http://geantuae.com/
Carrefour Hypermarket,Mushrif Mall - Abu Dhabi - United Arab Emirates,+971 800 73232,http://www.carrefouruae.com/
LuLu Hypermarket,Al Wahda Mall - Abu Dhabi - United Arab Emirates,+971 2 443 7070,http://www.luluhypermarket.com/
Union Coop,Al Wahda Mall - Abu Dhabi - United Arab Emirates,+971 800 8889,http://www.unioncoop.ae/
Abela Supermarket,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 644 4991,http://www.abelasupermarket.com/
Al Adil Trading,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 645 5655,http://www.aladiltrading.com/
Al Madina Hypermarket,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 641 1144,http://www.almadinagroup.com/
Fathima Supermarket,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 642 3444,
KM Trading Hypermarket,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 642 3322,http://kmtrading.com/
Nesto Centre,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 642 2244,http://www.nestogroup.com/
Safeer Hypermarket,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 641 4444,http://www.safeergroup.com/
SPAR Express,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 645 5050,http://www.spar-international.com/
The Organic Cafe,Zayed The First St - Abu Dhabi - United Arab Emirates,+971 2 642 2200,http://www.theorganiccafe.com/
Waitrose & Partners,Al Mariah Mall - Abu Dhabi - United Arab Emirates,+971 2 692 3399,http://www.waitrose.com/
LuLu Hypermarket,Abu Dhabi Mall - Abu Dhabi - United Arab Emirates,+971 2 645 6456,http://www.luluhypermarket.com/
SPINNEYS,Abu Dhabi Mall - Abu Dhabi - United Arab Emirates,+971 2 645 5500,http://www.spinneys-dubai.com/
Waitrose,World Trade Center Mall - Abu Dhabi - United Arab Emirates,+971 2 508 2533,http://www.waitrose.com/
Carrefour Hypermarket,Marina Mall - Abu Dhabi - United Arab Emirates,+971 800 73232,http://www.carrefouruae.com/
SPINNEYS,Marina Mall - Abu Dhabi - United Arab Emirates,+971 2 681 7575,http://www.spinneys-dubai.com/
Waitrose,The Galleria - Abu Dhabi - United Arab Emirates,+971 2 493 7555,http://www.waitrose.com/
LuLu Hypermarket,Dalma Mall - Abu Dhabi - United Arab Emirates,+971 2 553 3500,http://www.luluhypermarket.com/
SPINNEYS,Dalma Mall - Abu Dhabi - United Arab Emirates,+971 2 553 3663,http://www.spinneys-dubai.com/
Carrefour Hypermarket,Mushrif Mall - Abu Dhabi - United Arab Emirates,+971 800 73232,http://www.carrefouruae.com/
LuLu Hypermarket,Mushrif Mall - Abu Dhabi - United Arab Emirates,+971 2 690 5511,http://www.luluhypermarket.com/
SPINNEYS,Mushrif Mall - Abu Dhabi - United Arab Emirates,+971 2 690 5522,http://www.spinneys-dubai.com/
Waitrose,Mushrif Mall - Abu Dhabi - United Arab Emirates,+971 2 690 5533,http://www.waitrose.com/
Carrefour Hypermarket,Yas Mall - Abu Dhabi - United Arab Emirates,+971 800 73232,http://www.carrefouruae.com/
LuLu Hypermarket,Yas Mall - Abu Dhabi - United Arab Emirates,+971 2 565 7700,http://www.luluhypermarket.com/
SPINNEYS,Yas Mall - Abu Dhabi - United Arab Emirates,+971 2 565 7711,http://www.spinneys-dubai.com/
Carrefour Hypermarket,Deerfields Mall - Abu Dhabi - United Arab Emirates,+971 800 73232,http://www.carrefouruae.com/
LuLu Hypermarket,Bawabat Al Sharq Mall - Abu Dhabi - United Arab Emirates,+971 2 503 1500,http://www.luluhypermarket.com/
Carrefour Hypermarket,Al Wahda Mall - Abu Dhabi - United Arab Emirates,+971 800 73232,http://www.carrefouruae.com/
LuLu Hypermarket,Khalidiyah Mall - Abu Dhabi - United Arab Emirates,+971 2 635 4488,http://www.luluhypermarket.com/
SPINNEYS,Khalidiyah Mall - Abu Dhabi - United Arab Emirates,+971 2 635 4499,http://www.spinneys-dubai.com/
LuLu Hypermarket,Madinat Zayed Shopping Centre - Abu Dhabi - United Arab Emirates,+971 2 633 3444,http://www.luluhypermarket.com/
LuLu Hypermarket,Mazyad Mall - Abu Dhabi - United Arab Emirates,+971 2 552 2220,http://www.luluhypermarket.com/
LuLu Hypermarket,Remal Mall - Abu Dhabi - United Arab Emirates,+971 3 703 0333,http://www.luluhypermarket.com/
LuLu Hypermarket, العين مول - Abu Dhabi - United Arab Emirates,+971 3 766 0444,http://www.luluhypermarket.com/
LuLu Hypermarket,بوادي مول - Abu Dhabi - United Arab Emirates,+971 3 784 0444,http://www.luluhypermarket.com/
Carrefour Hypermarket,Al Jimi Mall - Abu Dhabi - United Arab Emirates,+971 800 73232,http://www.carrefouruae.com/
LuLu Hypermarket,Al Jimi Mall - Abu Dhabi - United Arab Emirates,+971 3 762 7444,http://www.luluhypermarket.com/
LuLu Hypermarket,Hili Mall - Abu Dhabi - United Arab Emirates,+971 3 784 8444,http://www.luluhypermarket.com/
LuLu Hypermarket,Capital Mall - Abu Dhabi - United Arab Emirates,+971 2 558 0077,http://www.luluhypermarket.com/
SPINNEYS,Capital Mall - Abu Dhabi - United Arab Emirates,+971 2 558 0066,http://www.spinneys-dubai.com/
LuLu Hypermarket,Forsan Central Mall - Abu Dhabi - United Arab Emirates,+971 2 633 0333,http://www.luluhypermarket.com/
LuLu Hypermarket,My City Centre Masdar - Abu Dhabi - United Arab Emirates,+971 2 414 0077,http://www.luluhypermarket.com/
SPINNEYS,My City Centre Masdar - Abu Dhabi - United Arab Emirates,+971 2 414 0088,http://www.spinneys-dubai.com/